Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2020/08/22 00:00:00;2020/08/22 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04037;PARIS 13eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;76.2;76.2;µg-m3;100.0;100;100.0;A;1;48.82861;2.360278
2020/08/22 00:00:00;2020/08/22 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04055;PARIS 1er Les Halles;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;78.8;78.75;µg-m3;100.0;100;100.0;A;1;48.86212;2.344616
2020/08/23 00:00:00;2020/08/23 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04004;PARIS 18eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;70.1;70.1;µg-m3;100.0;100;100.0;A;1;48.891666;2.346667
2020/08/23 00:00:00;2020/08/23 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04037;PARIS 13eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;65.3;65.3;µg-m3;100.0;100;100.0;A;1;48.82861;2.360278
2020/08/23 00:00:00;2020/08/23 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04055;PARIS 1er Les Halles;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;70.1;70.05;µg-m3;100.0;100;100.0;R;1;48.86212;2.344616
2020/08/24 00:00:00;2020/08/24 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04004;PARIS 18eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;70.0;69.95;µg-m3;100.0;100;100.0;R;1;48.891666;2.346667
2020/08/24 00:00:00;2020/08/24 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04037;PARIS 13eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;64.5;64.5;µg-m3;100.0;100;100.0;R;1;48.82861;2.360278
2020/08/24 00:00:00;2020/08/24 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04055;PARIS 1er Les Halles;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;67.0;66.95;µg-m3;100.0;100;100.0;A;1;48.86212;2.344616
2020/08/25 00:00:00;2020/08/25 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04004;PARIS 18eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;87.5;87.45;µg-m3;100.0;100;100.0;A;1;48.891666;2.346667
2020/08/25 00:00:00;2020/08/25 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04037;PARIS 13eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;81.5;81.45;µg-m3;100.0;100;100.0;A;1;48.82861;2.360278
2020/08/25 00:00:00;2020/08/25 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04055;PARIS 1er Les Halles;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;80.7;80.7;µg-m3;100.0;100;100.0;A;1;48.86212;2.344616
2020/08/26 00:00:00;2020/08/26 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04004;PARIS 18eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;69.7;69.65;µg-m3;100.0;100;100.0;A;1;48.891666;2.346667
2020/08/26 00:00:00;2020/08/26 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04037;PARIS 13eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;66.3;66.3;µg-m3;100.0;100;100.0;A;1;48.82861;2.360278
2020/08/26 00:00:00;2020/08/26 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04055;PARIS 1er Les Halles;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;68.5;68.5;µg-m3;100.0;100;100.0;A;1;48.86212;2.344616
2020/08/27 00:00:00;2020/08/27 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04004;PARIS 18eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;79.4;79.35;µg-m3;100.0;100;100.0;A;1;48.891666;2.346667
2020/08/27 00:00:00;2020/08/27 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04037;PARIS 13eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;71.5;71.45;µg-m3;100.0;100;100.0;A;1;48.82861;2.360278
2020/08/27 00:00:00;2020/08/27 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04055;PARIS 1er Les Halles;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;72.6;72.6;µg-m3;100.0;100;100.0;A;1;48.86212;2.344616
2020/08/28 00:00:00;2020/08/28 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04004;PARIS 18eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;61.3;61.25;µg-m3;100.0;100;100.0;A;1;48.891666;2.346667
2020/08/28 00:00:00;2020/08/28 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04037;PARIS 13eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;54.3;54.25;µg-m3;100.0;100;100.0;A;1;48.82861;2.360278
2020/08/28 00:00:00;2020/08/28 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04055;PARIS 1er Les Halles;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;59.3;59.3;µg-m3;100.0;100;100.0;A;1;48.86212;2.344616
2020/08/29 00:00:00;2020/08/29 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04004;PARIS 18eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;62.0;62.0;µg-m3;100.0;100;100.0;A;1;48.891666;2.346667
2020/08/29 00:00:00;2020/08/29 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04037;PARIS 13eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;55.9;55.85;µg-m3;100.0;100;100.0;A;1;48.82861;2.360278
2020/08/29 00:00:00;2020/08/29 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04055;PARIS 1er Les Halles;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;58.2;58.15;µg-m3;100.0;100;100.0;A;1;48.86212;2.344616
2020/08/30 00:00:00;2020/08/30 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04004;PARIS 18eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;73.4;73.4;µg-m3;100.0;100;100.0;A;1;48.891666;2.346667
2020/08/30 00:00:00;2020/08/30 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04037;PARIS 13eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;72.8;72.8;µg-m3;100.0;100;100.0;A;1;48.82861;2.360278
2020/08/30 00:00:00;2020/08/30 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04055;PARIS 1er Les Halles;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;74.0;73.95;µg-m3;100.0;100;100.0;R;1;48.86212;2.344616
2020/08/31 00:00:00;2020/08/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04004;PARIS 18eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;79.2;79.15;µg-m3;100.0;100;100.0;R;1;48.891666;2.346667
2020/08/31 00:00:00;2020/08/31 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04037;PARIS 13eme;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;74.1;74.1;µg-m3;100.0;100;100.0;R;1;48.82861;2.360278
